/afs/250010026/nlp/model/train_transformer_nmt.py:629: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=bool(args.fp16 and device.type == "cuda"))
/afs/250010026/nlp/model/train_transformer_nmt.py:650: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with torch.cuda.amp.autocast(enabled=bool(args.fp16 and device.type == "cuda")):
[schedule] steps_per_epoch=391 total_steps=196000 warmup_steps=6000
[epoch 54] valid_bleu=8.49 | N/A
[epoch 55] train_loss=3.1612 step=21505 lr=0.000394117
[epoch 55] valid_bleu=8.21 | N/A
[epoch 56] train_loss=3.1517 step=21896 lr=0.000393818
[epoch 56] valid_bleu=8.18 | N/A
[epoch 57] train_loss=3.1413 step=22287 lr=0.000393512
[epoch 57] valid_bleu=8.63 | N/A
[epoch 58] train_loss=3.1314 step=22678 lr=0.000393199
[epoch 58] valid_bleu=8.22 | N/A
[epoch 59] train_loss=3.1213 step=23069 lr=0.000392879
[epoch 59] valid_bleu=8.58 | N/A
[epoch 60] train_loss=3.1131 step=23460 lr=0.000392551
[epoch 60] valid_bleu=8.42 | N/A
[epoch 61] train_loss=3.1036 step=23851 lr=0.000392216
[epoch 61] valid_bleu=8.98 | N/A
[epoch 62] train_loss=3.0948 step=24242 lr=0.000391874
[epoch 62] valid_bleu=8.22 | N/A
[epoch 63] train_loss=3.0862 step=24633 lr=0.000391525
[epoch 63] valid_bleu=8.57 | N/A
[epoch 64] train_loss=3.0773 step=25024 lr=0.000391168
[epoch 64] valid_bleu=8.67 | N/A
[epoch 65] train_loss=3.0710 step=25415 lr=0.000390804
[epoch 65] valid_bleu=8.43 | N/A
[epoch 66] train_loss=3.0613 step=25806 lr=0.000390434
[epoch 66] valid_bleu=8.41 | N/A
[epoch 67] train_loss=3.0537 step=26197 lr=0.000390056
[epoch 67] valid_bleu=8.32 | N/A
[epoch 68] train_loss=3.0470 step=26588 lr=0.000389671
[epoch 68] valid_bleu=8.64 | N/A
[epoch 69] train_loss=3.0392 step=26979 lr=0.000389279
[epoch 69] valid_bleu=8.18 | N/A
[epoch 70] train_loss=3.0308 step=27370 lr=0.00038888
[epoch 70] valid_bleu=8.74 | N/A
[epoch 71] train_loss=3.0231 step=27761 lr=0.000388473
[epoch 71] valid_bleu=8.63 | N/A
[epoch 72] train_loss=3.0163 step=28152 lr=0.00038806
[epoch 72] valid_bleu=8.55 | N/A
[epoch 73] train_loss=3.0103 step=28543 lr=0.00038764
[epoch 73] valid_bleu=8.25 | N/A
[epoch 74] train_loss=3.0022 step=28934 lr=0.000387213
[epoch 74] valid_bleu=8.32 | N/A
[epoch 75] train_loss=2.9968 step=29325 lr=0.000386778
[epoch 75] valid_bleu=8.41 | N/A
[epoch 76] train_loss=2.9895 step=29716 lr=0.000386337
[epoch 76] valid_bleu=7.97 | N/A
[epoch 77] train_loss=2.9826 step=30107 lr=0.000385889
[epoch 77] valid_bleu=8.23 | N/A
[epoch 78] train_loss=2.9767 step=30498 lr=0.000385434
[epoch 78] valid_bleu=8.80 | N/A
[epoch 79] train_loss=2.9706 step=30889 lr=0.000384972
[epoch 79] valid_bleu=8.44 | N/A
[epoch 80] train_loss=2.9649 step=31280 lr=0.000384503
[epoch 80] valid_bleu=8.63 | N/A
[epoch 81] train_loss=2.9585 step=31671 lr=0.000384027
[epoch 81] valid_bleu=8.74 | N/A
[epoch 82] train_loss=2.9522 step=32062 lr=0.000383544
[epoch 82] valid_bleu=8.94 | N/A
[epoch 83] train_loss=2.9470 step=32453 lr=0.000383055
[epoch 83] valid_bleu=8.40 | N/A
[epoch 84] train_loss=2.9402 step=32844 lr=0.000382558
[epoch 84] valid_bleu=8.56 | N/A
[epoch 85] train_loss=2.9348 step=33235 lr=0.000382055
[epoch 85] valid_bleu=8.40 | N/A
[epoch 86] train_loss=2.9294 step=33626 lr=0.000381545
[epoch 86] valid_bleu=8.79 | N/A
[epoch 87] train_loss=2.9235 step=34017 lr=0.000381029
[epoch 87] valid_bleu=8.43 | N/A
[epoch 88] train_loss=2.9187 step=34408 lr=0.000380505
[epoch 88] valid_bleu=8.90 | N/A
[epoch 89] train_loss=2.9124 step=34799 lr=0.000379975
[epoch 89] valid_bleu=8.75 | N/A
[epoch 90] train_loss=2.9080 step=35190 lr=0.000379438
[epoch 90] valid_bleu=9.21 | N/A
[epoch 91] train_loss=2.9030 step=35581 lr=0.000378895
[epoch 91] valid_bleu=8.82 | N/A
[epoch 92] train_loss=2.8964 step=35972 lr=0.000378345
[epoch 92] valid_bleu=8.79 | N/A
[epoch 93] train_loss=2.8923 step=36363 lr=0.000377788
[epoch 93] valid_bleu=8.67 | N/A
[epoch 94] train_loss=2.8864 step=36754 lr=0.000377225
[epoch 94] valid_bleu=9.05 | N/A
[epoch 95] train_loss=2.8819 step=37145 lr=0.000376655
[epoch 95] valid_bleu=8.73 | N/A
[epoch 96] train_loss=2.8775 step=37536 lr=0.000376079
[epoch 96] valid_bleu=9.08 | N/A
[epoch 97] train_loss=2.8724 step=37927 lr=0.000375496
[epoch 97] valid_bleu=9.17 | N/A
[epoch 98] train_loss=2.8676 step=38318 lr=0.000374906
[epoch 98] valid_bleu=8.73 | N/A
[epoch 99] train_loss=2.8629 step=38709 lr=0.00037431
[epoch 99] valid_bleu=9.18 | N/A
[epoch 100] train_loss=2.8583 step=39100 lr=0.000373708
[epoch 100] valid_bleu=8.80 | N/A
[epoch 101] train_loss=2.8544 step=39491 lr=0.000373099
[epoch 101] valid_bleu=8.81 | N/A
[epoch 102] train_loss=2.8492 step=39882 lr=0.000372484
[epoch 102] valid_bleu=8.23 | N/A
[epoch 103] train_loss=2.8450 step=40273 lr=0.000371862
[epoch 103] valid_bleu=8.87 | N/A
[epoch 104] train_loss=2.8405 step=40664 lr=0.000371235
[epoch 104] valid_bleu=8.69 | N/A
[epoch 105] train_loss=2.8355 step=41055 lr=0.0003706
[epoch 105] valid_bleu=9.08 | N/A
[epoch 106] train_loss=2.8313 step=41446 lr=0.00036996
[epoch 106] valid_bleu=8.78 | N/A
[epoch 107] train_loss=2.8265 step=41837 lr=0.000369313
[epoch 107] valid_bleu=9.22 | N/A
[epoch 108] train_loss=2.8238 step=42228 lr=0.00036866
[epoch 108] valid_bleu=8.56 | N/A
[epoch 109] train_loss=2.8191 step=42619 lr=0.000368001
[epoch 109] valid_bleu=8.95 | N/A
[epoch 110] train_loss=2.8152 step=43010 lr=0.000367335
[epoch 110] valid_bleu=8.92 | N/A
[epoch 111] train_loss=2.8113 step=43401 lr=0.000366664
[epoch 111] valid_bleu=8.80 | N/A
[epoch 112] train_loss=2.8062 step=43792 lr=0.000365986
[epoch 112] valid_bleu=8.73 | N/A
[epoch 113] train_loss=2.8025 step=44183 lr=0.000365302
[epoch 113] valid_bleu=9.07 | N/A
[epoch 114] train_loss=2.7986 step=44574 lr=0.000364612
[epoch 114] valid_bleu=8.95 | N/A
[epoch 115] train_loss=2.7942 step=44965 lr=0.000363916
[epoch 115] valid_bleu=8.53 | N/A
[epoch 116] train_loss=2.7914 step=45356 lr=0.000363214
[epoch 116] valid_bleu=8.97 | N/A
[epoch 117] train_loss=2.7876 step=45747 lr=0.000362507
[epoch 117] valid_bleu=8.86 | N/A
[epoch 118] train_loss=2.7834 step=46138 lr=0.000361793
[epoch 118] valid_bleu=9.03 | N/A
[epoch 119] train_loss=2.7793 step=46529 lr=0.000361073
[epoch 119] valid_bleu=9.20 | N/A
[epoch 120] train_loss=2.7760 step=46920 lr=0.000360347
[epoch 120] valid_bleu=9.26 | N/A
[epoch 121] train_loss=2.7706 step=47311 lr=0.000359616
[epoch 121] valid_bleu=9.02 | N/A
[epoch 122] train_loss=2.7687 step=47702 lr=0.000358878
[epoch 122] valid_bleu=9.15 | N/A
[epoch 123] train_loss=2.7642 step=48093 lr=0.000358135
[epoch 123] valid_bleu=8.92 | N/A
[epoch 124] train_loss=2.7609 step=48484 lr=0.000357386
[epoch 124] valid_bleu=8.86 | N/A
[epoch 125] train_loss=2.7569 step=48875 lr=0.000356631
[epoch 125] valid_bleu=8.78 | N/A
[epoch 126] train_loss=2.7534 step=49266 lr=0.000355871
[epoch 126] valid_bleu=9.02 | N/A
[epoch 127] train_loss=2.7499 step=49657 lr=0.000355105
[epoch 127] valid_bleu=9.19 | N/A
[epoch 128] train_loss=2.7467 step=50048 lr=0.000354333
[epoch 128] valid_bleu=9.01 | N/A
[epoch 129] train_loss=2.7433 step=50439 lr=0.000353555
[epoch 129] valid_bleu=9.08 | N/A
[epoch 130] train_loss=2.7405 step=50830 lr=0.000352772
[epoch 130] valid_bleu=8.84 | N/A
[epoch 131] train_loss=2.7357 step=51221 lr=0.000351984
[epoch 131] valid_bleu=8.55 | N/A
[epoch 132] train_loss=2.7331 step=51612 lr=0.00035119
[epoch 132] valid_bleu=9.02 | N/A
[epoch 133] train_loss=2.7292 step=52003 lr=0.00035039
[epoch 133] valid_bleu=8.68 | N/A
[epoch 134] train_loss=2.7268 step=52394 lr=0.000349585
[epoch 134] valid_bleu=9.35 | N/A
[epoch 135] train_loss=2.7232 step=52785 lr=0.000348775
[epoch 135] valid_bleu=9.16 | N/A
[epoch 136] train_loss=2.7197 step=53176 lr=0.000347959
[epoch 136] valid_bleu=8.92 | N/A
[epoch 137] train_loss=2.7159 step=53567 lr=0.000347138
[epoch 137] valid_bleu=9.13 | N/A
[epoch 138] train_loss=2.7131 step=53958 lr=0.000346312
[epoch 138] valid_bleu=8.74 | N/A
[epoch 139] train_loss=2.7101 step=54349 lr=0.00034548
[epoch 139] valid_bleu=8.66 | N/A
[epoch 140] train_loss=2.7070 step=54740 lr=0.000344643
[epoch 140] valid_bleu=8.65 | N/A
[epoch 141] train_loss=2.7031 step=55131 lr=0.000343801
[epoch 141] valid_bleu=9.64 | N/A
[epoch 142] train_loss=2.7008 step=55522 lr=0.000342954
[epoch 142] valid_bleu=9.20 | N/A
[epoch 143] train_loss=2.6981 step=55913 lr=0.000342101
[epoch 143] valid_bleu=8.89 | N/A
[epoch 144] train_loss=2.6947 step=56304 lr=0.000341243
[epoch 144] valid_bleu=9.26 | N/A
[epoch 145] train_loss=2.6915 step=56695 lr=0.000340381
[epoch 145] valid_bleu=9.12 | N/A
[epoch 146] train_loss=2.6882 step=57086 lr=0.000339513
[epoch 146] valid_bleu=9.56 | N/A
[epoch 147] train_loss=2.6856 step=57477 lr=0.00033864
[epoch 147] valid_bleu=9.01 | N/A
[epoch 148] train_loss=2.6824 step=57868 lr=0.000337763
[epoch 148] valid_bleu=9.07 | N/A
[epoch 149] train_loss=2.6797 step=58259 lr=0.00033688
[epoch 149] valid_bleu=9.09 | N/A
[epoch 150] train_loss=2.6770 step=58650 lr=0.000335993
[epoch 150] valid_bleu=9.52 | N/A
[epoch 151] train_loss=2.6743 step=59041 lr=0.000335101
[epoch 151] valid_bleu=9.62 | N/A
[epoch 152] train_loss=2.6702 step=59432 lr=0.000334203
[epoch 152] valid_bleu=9.11 | N/A
[epoch 153] train_loss=2.6687 step=59823 lr=0.000333302
[epoch 153] valid_bleu=9.20 | N/A
[epoch 154] train_loss=2.6649 step=60214 lr=0.000332395
[epoch 154] valid_bleu=9.81 | N/A
[epoch 155] train_loss=2.6627 step=60605 lr=0.000331484
[epoch 155] valid_bleu=9.14 | N/A
