/afs/250010026/nlp/model/train_transformer_nmt.py:629: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=bool(args.fp16 and device.type == "cuda"))
/afs/250010026/nlp/model/train_transformer_nmt.py:650: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with torch.cuda.amp.autocast(enabled=bool(args.fp16 and device.type == "cuda")):
[schedule] steps_per_epoch=391 total_steps=196000 warmup_steps=6000
[epoch 54] valid_bleu=7.75 | N/A
[epoch 55] train_loss=2.3464 step=21505 lr=0.000394117
[epoch 55] valid_bleu=7.50 | N/A
[epoch 56] train_loss=2.3348 step=21896 lr=0.000393818
[epoch 56] valid_bleu=7.43 | N/A
[epoch 57] train_loss=2.3250 step=22287 lr=0.000393512
[epoch 57] valid_bleu=7.93 | N/A
[epoch 58] train_loss=2.3142 step=22678 lr=0.000393199
[epoch 58] valid_bleu=7.48 | N/A
[epoch 59] train_loss=2.3047 step=23069 lr=0.000392879
[epoch 59] valid_bleu=8.04 | N/A
[epoch 60] train_loss=2.2949 step=23460 lr=0.000392551
[epoch 60] valid_bleu=7.87 | N/A
[epoch 61] train_loss=2.2858 step=23851 lr=0.000392216
[epoch 61] valid_bleu=7.97 | N/A
[epoch 62] train_loss=2.2756 step=24242 lr=0.000391874
[epoch 62] valid_bleu=8.03 | N/A
[epoch 63] train_loss=2.2675 step=24633 lr=0.000391525
[epoch 63] valid_bleu=7.88 | N/A
[epoch 64] train_loss=2.2588 step=25024 lr=0.000391168
[epoch 64] valid_bleu=7.48 | N/A
[epoch 65] train_loss=2.2493 step=25415 lr=0.000390804
[epoch 65] valid_bleu=7.93 | N/A
[epoch 66] train_loss=2.2416 step=25806 lr=0.000390434
[epoch 66] valid_bleu=7.96 | N/A
[epoch 67] train_loss=2.2333 step=26197 lr=0.000390056
[epoch 67] valid_bleu=8.09 | N/A
[epoch 68] train_loss=2.2245 step=26588 lr=0.000389671
[epoch 68] valid_bleu=8.14 | N/A
[epoch 69] train_loss=2.2177 step=26979 lr=0.000389279
[epoch 69] valid_bleu=7.42 | N/A
[epoch 70] train_loss=2.2094 step=27370 lr=0.00038888
[epoch 70] valid_bleu=7.94 | N/A
[epoch 71] train_loss=2.2026 step=27761 lr=0.000388473
[epoch 71] valid_bleu=7.97 | N/A
[epoch 72] train_loss=2.1959 step=28152 lr=0.00038806
[epoch 72] valid_bleu=7.63 | N/A
[epoch 73] train_loss=2.1881 step=28543 lr=0.00038764
[epoch 73] valid_bleu=7.63 | N/A
[epoch 74] train_loss=2.1820 step=28934 lr=0.000387213
[epoch 74] valid_bleu=7.73 | N/A
[epoch 75] train_loss=2.1750 step=29325 lr=0.000386778
[epoch 75] valid_bleu=7.85 | N/A
[epoch 76] train_loss=2.1688 step=29716 lr=0.000386337
[epoch 76] valid_bleu=8.23 | N/A
[epoch 77] train_loss=2.1620 step=30107 lr=0.000385889
[epoch 77] valid_bleu=7.99 | N/A
[epoch 78] train_loss=2.1553 step=30498 lr=0.000385434
[epoch 78] valid_bleu=7.80 | N/A
[epoch 79] train_loss=2.1485 step=30889 lr=0.000384972
